Name,Height,Weight,Age,PTS,REB,AST,NETRTG
R.J. Hampton,6-4,175,20,6.9,3.5,1.7,-14.2
RJ Barrett,6-6,214,21,17.6,5.8,3,2.7
Rajon Rondo,6-1,180,35,5.4,2.4,4.4,1
Raul Neto,6-1,180,29,8.7,2.4,2.3,-1
Ray Spalding,6-9,225,24,2,2,0,-15.9
Rayjon Tucker,6-3,209,23,2.4,0.8,0.4,-5.2
Reggie Bullock,6-6,205,30,10.9,3.4,1.5,2.5
Reggie Jackson,6-2,208,31,10.7,2.9,3.1,7.4
Reggie Perry,6-8,250,21,3,2.8,0.5,-7.3
Richaun Holmes,6-10,235,27,14.2,8.3,1.7,0.3
Ricky Rubio,6-3,190,30,8.6,3.3,6.4,-5
Robert Covington,6-7,209,30,8.5,6.7,1.7,4.8
Robert Franks,6-7,225,24,6.1,2,0.7,-14.4
Robert Williams III,6-8,237,23,8,6.9,1.8,0.4
Robert Woodard II,6-6,235,21,1.5,1.2,0.2,6.6
Robin Lopez,7-0,281,33,9,3.8,0.8,-1.1
Rodions Kurucs,6-9,228,23,1.5,1.1,0.5,-0.3
Rodney Hood,6-8,208,28,4.5,1.9,1,-6.6
Rodney McGruder,6-4,205,29,5.7,1.4,1,-4
Romeo Langford,6-4,216,21,3.1,1.9,0.7,-10.1
Rondae Hollis-Jefferson,6-6,217,26,2.5,2.4,1.2,-1.1
Royce O'Neale,6-4,226,28,7,6.8,2.5,10.4
Rudy Gay,6-8,250,34,11.4,4.8,1.4,4.5
Rudy Gobert,7-1,258,29,14.3,13.5,1.3,15.9
Rui Hachimura,6-8,230,23,13.8,5.5,1.4,-2.8
Russell Westbrook,6-3,200,32,22.2,11.5,11.7,-1.2
Ryan Arcidiacono,6-3,195,27,3.1,1.5,1.3,0
Saben Lee,6-2,183,22,5.6,2,3.6,-6.3
Saddiq Bey,6-7,215,22,12.2,4.5,1.4,-5.6
Sam Merrill,6-4,205,25,3,1,0.7,-8.5
Sean McDermott,6-6,195,24,2.2,1.1,0.2,-17.7
Sekou Doumbouya,6-8,230,20,5.1,2.6,0.8,-6.9
Semi Ojeleye,6-6,240,26,4.6,2.6,0.7,-0.2
Serge Ibaka,6-10,235,31,11.1,6.7,1.8,7.4
Seth Curry,6-2,185,30,12.5,2.4,2.7,8.2
Shai Gilgeous-Alexander,6-6,180,22,23.7,4.7,5.9,-7.7
Shake Milton,6-5,205,24,13,2.3,3.1,4.3
Shaquille Harrison,6-7,190,27,2.1,1.4,0.7,-10.1
Sindarius Thornwell,6-4,215,26,2,0.9,1,-2
Skylar Mays,6-4,205,23,3.8,1.1,0.9,1.4
Solomon Hill,6-6,226,30,4.5,3,1.1,1
Spencer Dinwiddie,6-5,215,28,6.7,4.3,3,29.8
Stanley Johnson,6-6,242,25,4.4,2.5,1.5,-6.4
Stephen Curry,6-3,185,33,32,5.5,5.8,4.6
Sterling Brown,6-5,219,26,8.2,4.4,1.4,-5.4
Steven Adams,6-11,265,27,7.6,8.9,1.9,-0.1
Svi Mykhailiuk,6-7,205,24,8.5,2.5,1.7,-8.2
T.J. Leaf,6-10,222,24,1.7,0.7,0.1,-24.8
T.J. McConnell,6-1,190,29,8.6,3.7,6.6,2.5
T.J. Warren,6-8,220,27,15.5,3.5,1.3,2.6
Tacko Fall,7-5,311,25,2.5,2.7,0.2,6.3
Taj Gibson,6-9,232,36,5.4,5.6,0.8,7.3
Talen Horton-Tucker,6-4,234,20,9,2.6,2.8,1
Taurean Prince,6-7,218,27,9.5,3.5,1.9,-6.1
Terance Mann,6-5,215,24,7,3.6,1.6,2.7
Terence Davis,6-4,201,24,8.7,2.5,1.4,-2.8
Terrance Ferguson,6-6,190,23,0.2,0.1,0.2,-17.8
Terrence Ross,6-6,206,30,15.6,3.4,2.3,-8.8
Terry Rozier,6-1,190,27,20.4,4.4,4.2,-2
Thaddeus Young,6-8,235,33,12.1,6.2,4.3,4.1
Thanasis Antetokounmpo,6-6,219,28,2.9,2.2,0.8,2.5
Theo Maledon,6-4,175,20,10.1,3.2,3.5,-16.5
Theo Pinson,6-5,212,25,0.1,0.3,0.1,-16
Thomas Bryant,6-10,248,23,14.3,6.1,1.5,-2.1
Thon Maker,7-0,221,24,3.8,2.3,0.5,-10.9
Tim Frazier,6-0,170,30,1.6,1.6,3.2,7.8
Tim Hardaway Jr.,6-5,205,29,16.6,3.3,1.8,2.1
Timothe Luwawu-Cabarrot,6-7,220,26,6.4,2.2,1.2,-0.4
Tobias Harris,6-8,226,28,19.5,6.8,3.5,7.2
Tomas Satoransky,6-7,210,29,7.7,2.4,4.7,-0.8
Tony Bradley,6-10,248,23,7.1,5.7,0.9,-1.8
Tony Snell,6-6,213,29,5.3,2.4,1.3,2.2
Torrey Craig,6-7,221,30,5.5,3.9,1,-3.7
Trae Young,6-1,180,22,25.3,3.9,9.4,5.2
Tre Jones,6-1,185,21,2.5,0.6,1.1,-13.8
Tremont Waters,5-10,175,23,3.8,0.8,2.4,-2
Trent Forrest,6-4,210,23,2.9,1.5,1.5,-7.7
Trevor Ariza,6-8,215,36,9.4,4.8,1.8,2.8
Trey Burke,6-0,185,28,6.6,0.9,1.3,1.3
Trey Lyles,6-9,234,25,5,3.7,0.6,-14.5
Tristan Thompson,6-9,254,30,7.6,8.1,1.2,1
Troy Brown Jr.,6-6,215,21,4.7,3.1,0.9,3.1
Ty Jerome,6-5,195,23,10.7,2.8,3.6,-8.5
Ty-Shon Alexander,6-3,195,22,0.6,0.7,0.4,-6
Tyler Bey,6-7,215,23,1,1.1,0.2,-27
Tyler Cook,6-8,255,23,4.9,3,0.5,-4.2
Tyler Herro,6-5,195,21,15.1,5,3.4,-2.9
Tyler Johnson,6-3,186,29,5.4,2,1.2,3.3
Tyrell Terry,6-2,160,20,1,0.5,0.5,0
Tyrese Haliburton,6-5,185,21,13,3,5.3,-5.6
Tyrese Maxey,6-2,200,20,8,1.7,2,-1.6
Tyus Jones,6-0,196,25,6.3,2,3.7,-2.8
Udoka Azubuike,6-10,280,21,1.1,0.9,0,-54.5
Udonis Haslem,6-8,235,41,4,1,0,66.7
Vernon Carey Jr.,6-9,270,20,2.4,1.4,0.1,-3.2
Victor Oladipo,6-4,213,29,19.8,4.8,4.6,-2.3
Vincent Poirier,7-0,235,27,0.8,1.4,0.2,-19.4
Vlatko Cancar,6-8,236,24,2.1,1.2,0.3,-17.5
Wayne Ellington,6-4,207,33,9.6,1.8,1.5,-4.3
Wendell Carter Jr.,6-10,270,22,11.2,8.2,1.9,-9
Wenyen Gabriel,6-9,205,24,3.4,2.6,0.5,0.8
Wes Iwundu,6-6,195,26,2.4,2.2,0.4,-6.6
Wesley Matthews,6-4,220,34,4.8,1.6,0.9,1.9
Will Barton,6-6,181,30,12.7,4,3.2,6
Will Magnay,6-10,234,23,0,0,0,-148.2
Willie Cauley-Stein,7-0,240,27,5.3,4.5,0.7,9.4
Willy Hernangomez,6-11,250,27,7.8,7.1,1.1,0
Xavier Tillman Sr.,6-8,245,22,6.6,4.3,1.3,2.9
Yogi Ferrell,6-0,178,28,5.6,1.9,2.2,-0.4
Yuta Watanabe,6-9,215,26,4.4,3.2,0.8,-2.7
Zach LaVine,6-5,200,26,27.4,5,4.9,-0.8
Zeke Nnaji,6-9,240,20,3.2,1.5,0.2,-10.5
Zion Williamson,6-7,284,20,27,7.2,3.7,2.1
